Nombre,Autor,Editorial,ISBN,Precio,Fecha de lanzamiento,Formato,Páginas,Disponibilidad
MAGNETO: TESTAMENTO (Marvel Must-Have),"Carmine Di Giandomenico
,
 Greg Pak",Panini Comics,9788411501781,"19,00 €",20/04/2023,Tapa dura,144,En stock
EL ASOMBROSO SPIDERMAN 36: LA MUERTE DEL MAÑANA (Marvel Saga 77),"Dan Slott
,
 Humberto Ramos
,
 Stefano Caselli",Panini Comics,9788411504454,"23,75 €",20/04/2023,Tapa dura,200,En stock
MILES MORALES SPIDERMAN 05: EL FIN (Ultimate integral),"Brian Michael Bendis
,
 David Marquez
,
 Mark Bagley",Panini Comics,9788411503440,"28,50 €",20/04/2023,Tapa dura,248,En stock
LOS NUEVOS MUTANTES: LA SAGA DEL OSO MÍSTICO (Marvel Must-Have),"Bill Sienkiewicz
,
 Chris Claremont",Panini Comics,9788411501194,"15,20 €",20/04/2023,Tapa dura,128,En stock
PATRULLA-X VS VENGADORES OSCUROS (Marvel Must-Have),"Marc Silvestri
,
 Matt Fraction
,
 Terry Dodson",Panini Comics,9788411503525,"19,00 €",20/04/2023,Tapa dura,208,En stock
CABALLERO LUNA 06: ATAQUE INTIMIDATORIO (Marvel Saga),"Gregg Hurwitz
,
 Jerome Opeña",Panini Comics,9788411503372,"19,95 €",20/04/2023,Tapa dura,160,En stock
MARVEL HÉROES 114: GUARDIANES DE LA GALAXIA 03. JUEGO FINAL,"Dale Eaglesham
,
 Geof Isherwood
,
 Jeff Moore
,
 Kevin West
,
 Michael Gallagher
,
 Sandu Florea
,
 Scot Eaton
,
 Yancey Labat
,
 Ed Lazellari
,
 Michael Bair",Panini Comics,9788411503365,"62,70 €",20/04/2023,Tapa dura,808,En stock
GENIS-VELL: CAPITÁN MARVEL,"Juanan Ramírez
,
 Peter David",Panini Comics,9788411502672,"14,73 €",13/04/2023,Tapa blanda,120,En stock
AMANECER DE X 08 (Marvel premiere),"Ed Brisson
,
 Matteo Buffagni
,
 Stephen Segovia
,
 Varios autores",Panini Comics,9788411503587,"14,73 €",13/04/2023,Tapa blanda,176,En stock
PANTERA NEGRA 02: GUERRAS DE RANGO,"Germán Peralta
,
 John Ridley",Panini Comics,9788411502689,"14,73 €",13/04/2023,Tapa blanda,112,En stock
LA PATRULLA-X 01: 1963-64 (Biblioteca Marvel),"Jack Kirby
,
 Stan Lee",Panini Comics,9788411503327,"11,40 €",13/04/2023,Tapa blanda con solapas,160,En stock
EL ASOMBROSO SPIDERMAN 04: FELIZ CUMPLEAÑOS (MARVEL SAGA TAPA BLANDA),"J. Michael Straczynski
,
 John Romita Jr.",Panini Comics,9788411503495,"15,68 €",13/04/2023,Tapa blanda,200,En stock
LOS VENGADORES 01: 1963-64 (Biblioteca Marvel),"Jack Kirby
,
 Stan Lee",Panini Comics,9788411503310,"11,40 €",13/04/2023,Tapa blanda con solapas,160,En stock
LOS CUATRO FANTÁSTICOS 05: 1963-64 (Biblioteca Marvel),"Jack Kirby
,
 Stan Lee",Panini Comics,9788411503334,"11,40 €",13/04/2023,Tapa blanda con solapas,160,En stock
SPIDER-GWEN: GHOST SPIDER 05. UNIVERSO GWEN,Tim Seeley,Panini Comics,9788411019644,"14,73 €",13/04/2023,Tapa blanda,120,En stock
LOS VENGADORES 06: EL RENACIMIENTO DE MARCA ESTELAR (Marvel Premiere),"Felipe Smith
,
 Jason Aaron
,
 Stefano Caselli
,
 Tradd Moore",Panini Comics,9788411503563,"10,45 €",13/04/2023,Tapa blanda,112,En stock
LOS NUEVOS CUATRO FANTÁSTICOS: CAMINO AL INFIERNO,"Alan Robinson
,
 Peter David",Panini Comics,9788411503013,"14,73 €",13/04/2023,Tapa blanda,120,En stock
ROGERS / WILSON CAPITÁN AMÉRICA 09 (146),"Carmen Carnero
,
 Collin Kelly
,
 Jackson Lanzing
,
 Tochi Onyebuchi",Panini Comics,977000543800900146,"5,23 €",05/04/2023,Grapa,48,En stock
VENENO 14 (62),"Al Ewing
,
 Bryan Hitch",Panini Comics,977000552800700062,"3,14 €",05/04/2023,Grapa,24,En stock
SALVAJES VENGADORES 08 (36) (Serie mensual),"Carlos Magno
,
 David Pepose",Panini Comics,977000557600800036,"3,14 €",05/04/2023,Grapa,24,En stock
LOS CUATRO FANTÁSTICOS 02 (152),"Ibán Coello
,
 Ryan North",Panini Comics,977000554300000052,"3,14 €",05/04/2023,Grapa,24,En stock
MILES MORALES: SPIDER-MAN 01 (54),"Cody Ziglar
,
 Federico Vicentini",Panini Comics,977000555000800025,"3,61 €",05/04/2023,Grapa,32,En stock
MOTORISTA FANTASMA 06 (12),"Benjamin Percy
,
 Cory Smith",Panini Comics,977000559400200012,"5,23 €",05/04/2023,Grapa,48,En stock
EL INVENCIBLE IRON MAN Nº 01 (Nº 146),"Gerry Duggan
,
 Juan Frigeri",Panini Comics,977000544300300146,"4,37 €",05/04/2023,Grapa,40,En stock
NUEVOS MUTANTES 30 (Serie mensual),"Alberto Jimenez Alburquerque
,
 Charlie Jane Anders
,
 Ro Stein
,
 Ted Brandt",Panini Comics,977000558500000030,"3,61 €",05/04/2023,Grapa,32,En stock
THOR 29 / 136,"Nic Klein
,
 Torunn Gronbekk",Panini Comics,977000544400000136,"3,14 €",05/04/2023,Grapa,24,En stock
INMORTAL PATRULLA-X 10,"Al Ewing
,
 Kieron Gillen
,
 Lucas Werneck
,
 Stefano Caselli",Panini Comics,977000563800300010,"6,18 €",05/04/2023,Grapa,56,En stock
DAREDEVIL 06 (39),"Chip Zdarsky
,
 Rafael De Latorre",Panini Comics,977000557500100039,"3,14 €",05/04/2023,Grapa,24,En stock
PATRULLA-X 18 (140) (Serie mensual),"Andrea Di Vito
,
 Steve Foxe",Panini Comics,977000545800700140,"4,37 €",05/04/2023,Grapa,40,En stock
EL CASTIGADOR 08 (de 13),"Jason Aaron
,
 Jesús Saiz
,
 Paul Azaceta",Panini Comics,977000563900000008,"3,61 €",05/04/2023,Grapa,32,En stock
X-FORCE 31 (37) (Serie mensual),"Benjamin Percy
,
 Chris Allen",Panini Comics,977000555400600037,"3,14 €",05/04/2023,Grapa,24,En stock
INTEMPORAL 2023,"Jed Mackay
,
 Patrick Zircher
,
 Salvador Larroca",Panini Comics,977000563200100002,"5,23 €",05/04/2023,Grapa,48,En stock
LOBEZNO 29 (135),"Benjamin Percy
,
 Juan José Ryp",Panini Comics,977000544600400135,"3,14 €",05/04/2023,Grapa,24,En stock
VENGADORES 49 (150),"Ivan Fiorelli
,
 James Towe
,
 Jason Aaron",Panini Comics,977000543600500150,"5,23 €",05/04/2023,Grapa,48,En stock
MERODEADORES 09 (34),"Eleonora Carlini
,
 Steve Orlando",Panini Comics,977000558900800034,"3,14 €",05/04/2023,Grapa,24,En stock
SPIDERMAN 02,"Dan Slott
,
 Mark Bagley",Panini Comics,977000565300600002,"5,23 €",05/04/2023,Grapa,48,En stock
